candidate_id,source_template,total_score,coverage_score,e_balance_score,workload_balance_score,feeder_order_score,specialization_score,estimated_workload_range,average_feeder_span,average_head_jump
C029,distributed_e,84.26,100.0,100.0,70.0,66.32,85.0,15,7.33,0.36
C033,distributed_e,84.26,100.0,100.0,70.0,66.32,85.0,15,7.33,0.36
C035,distributed_e,84.26,100.0,100.0,70.0,66.32,85.0,15,7.33,0.36
C002,distributed_e,84.19,100.0,100.0,70.0,65.94,85.0,15,7.33,0.39
C004,distributed_e,84.19,100.0,100.0,70.0,65.94,85.0,15,7.33,0.39
C008,distributed_e,84.19,100.0,100.0,70.0,65.94,85.0,15,7.33,0.39
C010,distributed_e,84.19,100.0,100.0,70.0,65.94,85.0,15,7.33,0.39
C014,distributed_e,84.19,100.0,100.0,70.0,65.94,85.0,15,7.33,0.39
C016,distributed_e,84.19,100.0,100.0,70.0,65.94,85.0,15,7.33,0.39
C020,distributed_e,84.19,100.0,100.0,70.0,65.94,85.0,15,7.33,0.39
C022,distributed_e,84.19,100.0,100.0,70.0,65.94,85.0,15,7.33,0.39
C026,distributed_e,84.19,100.0,100.0,70.0,65.94,85.0,15,7.33,0.39
C028,distributed_e,84.19,100.0,100.0,70.0,65.94,85.0,15,7.33,0.39
C032,distributed_e,84.19,100.0,100.0,70.0,65.94,85.0,15,7.33,0.39
C034,distributed_e,84.19,100.0,100.0,70.0,65.94,85.0,15,7.33,0.39
